"city","state","name"
"0102",1,"Iquique"
"0106",1,"Huara"
"0107",1,"Camiña"
"0108",1,"Colchane"
"0109",1,"Pica"
"0110",1,"Pozo Almonte"
"0111",1,"Alto Hospicio"
"0113",1,"Pozo Almonte (La Tirana)"
"0114",1,"Pozo Almonte (La Huayca)"
"0115",1,"Pica (Matilla)"
"0116",1,"Iquique (Playa Blanca)"
"0117",1,"Iquique (Playa Lobito)"
"0118",1,"Iquique (Los Verdes)"
"0120",1,"Iquique (Playa Yape)"
"0121",1,"Iquique (Playa Chanavayita)"
"0122",1,"Iquique (Patache)"
"0201",2,"Antofagasta"
"0202",2,"Tocopilla"
"0203",2,"Maria Elena"
"0204",2,"Calama"
"0205",2,"Ollague"
"0206",2,"San Pedro De Atacama"
"0207",2,"Mejillones"
"0208",2,"Sierra Gorda"
"0209",2,"Taltal"
"0210",2,"Sierra Gorda (Baquedano)"
"0212",2,"San Pedro De Atacama (Toconao)"
"0301",3,"Copiapo"
"0302",3,"Chañaral"
"0303",3,"Diego De Almagro"
"0304",3,"Caldera"
"0305",3,"Tierra Amarilla"
"0306",3,"Vallenar"
"0307",3,"Freirina"
"0308",3,"Huasco"
"0309",3,"Alto Del Carmen"
"0401",4,"Coquimbo (Tongoy)"
"0402",4,"La Serena"
"0403",4,"La Higuera"
"0404",4,"Coquimbo"
"0405",4,"Andacollo"
"0406",4,"Vicuna"
"0407",4,"Paihuano"
"0408",4,"Ovalle"
"0409",4,"Rio Hurtado"
"0410",4,"Monte Patria"
"0411",4,"Combarbala"
"0412",4,"Punitaqui"
"0413",4,"Illapel"
"0414",4,"Salamanca"
"0415",4,"Los Vilos"
"0416",4,"Canela (Mincha)"
"0417",4,"Coquimbo (Guanaqueros)"
"0418",4,"Coquimbo (Totoralillo)"
"0419",4,"Coquimbo (Las Tacas)"
"0420",4,"Coquimbo (Pan De Azucar)"
"0421",4,"Rio Hurtado (Morrillos)"
"0422",4,"Vicuña (Diaguitas)"
"0423",4,"Paihuano (Pisco Elqui)"
"0424",4,"Vicuña (Rivadavia)"
"0501",5,"Los Andes"
"0502",5,"Casablanca"
"0503",5,"Llaillay"
"0504",5,"Limache"
"0506",5,"San Felipe"
"0507",5,"La Ligua"
"0508",5,"Petorca"
"0509",5,"Cabildo"
"0510",5,"Zapallar"
"0511",5,"Papudo"
"0512",5,"San Esteban"
"0513",5,"Calle Larga"
"0514",5,"Rinconada"
"0515",5,"Putaendo"
"0516",5,"Santa Maria"
"0517",5,"Panquehue"
"0518",5,"Catemu"
"0519",5,"Quillota"
"0520",5,"La Cruz"
"0521",5,"La Calera"
"0522",5,"Nogales"
"0523",5,"Hijuelas"
"0524",5,"Olmue"
"0525",5,"Valparaiso"
"0526",5,"Vina Del Mar"
"0527",5,"Quintero"
"0528",5,"Puchuncavi"
"0529",5,"Quilpue"
"0530",5,"Villa Alemana"
"0532",5,"San Antonio"
"0533",5,"Cartagena"
"0534",5,"El Tabo"
"0535",5,"El Quisco"
"0536",5,"Algarrobo"
"0537",5,"Santo Dgo."
"0538",5,"I.De Pascua"
"0539",5,"Concon"
"0540",5,"Valparaiso (Placilla)"
"0541",5,"Casablanca (Quintay)"
"0542",5,"Valparaiso (Laguna Verde)"
"0543",5,"Puchuncavi (Horcon)"
"0544",5,"Puchuncavi (Ventanas)"
"0545",5,"Puchuncavi (Maitencillo)"
"0546",5,"Puchuncavi (Marbella)"
"0547",5,"Quilpue (Belloto)"
"0548",5,"Quilpue (Penablanca)"
"0549",5,"Olmue (Lo Narvaez)"
"0550",5,"Olmue (Granizo)"
"0551",5,"Calera (Artificio)"
"0552",5,"Quintero (Loncura)"
"0553",5,"Quillota (San Pedro)"
"0554",5,"Nogales (El Melon)"
"0556",5,"Casablanca (Lagunillas)"
"0557",5,"Los Andes (Saladillo)"
"0601",6,"Rancagua"
"0602",6,"Graneros"
"0603",6,"Mostazal"
"0604",6,"Codegua"
"0605",6,"Machali"
"0606",6,"Olivar"
"0607",6,"Requinoa"
"0608",6,"Rengo"
"0609",6,"Malloa"
"0610",6,"Quinta De Tilcoco"
"0611",6,"San Vicente"
"0612",6,"Pichidegua"
"0613",6,"Peumo"
"0614",6,"Coltauco"
"0615",6,"Coinco"
"0616",6,"Doñihue"
"0617",6,"Las Cabras"
"0618",6,"San Fernando"
"0619",6,"Chimbarongo"
"0620",6,"Placilla"
"0621",6,"Nancagua"
"0622",6,"Chepica"
"0623",6,"Santa Cruz"
